i01	V(vhd)
4.300000000000558e-005	-5.590354e-001
4.400000000000558e-005	-5.596832e-001
4.500000000000557e-005	-5.603188e-001
4.600000000000557e-005	-5.609428e-001
4.700000000000557e-005	-5.615556e-001
4.800000000000557e-005	-5.621577e-001
4.900000000000556e-005	-5.627495e-001
5.000000000000556e-005	-5.633314e-001
5.100000000000556e-005	-5.639039e-001
5.200000000000555e-005	-5.644671e-001
5.300000000000555e-005	-5.650216e-001
5.400000000000555e-005	-5.655676e-001
5.500000000000555e-005	-5.661054e-001
5.600000000000554e-005	-5.666353e-001
5.700000000000554e-005	-5.671574e-001
5.800000000000554e-005	-5.676723e-001
5.900000000000553e-005	-5.681800e-001
6.000000000000553e-005	-5.686807e-001
6.100000000000553e-005	-5.691748e-001
6.200000000000553e-005	-5.696623e-001
6.300000000000553e-005	-5.701435e-001
6.400000000000553e-005	-5.706186e-001
6.500000000000552e-005	-5.710877e-001
6.600000000000552e-005	-5.715510e-001
6.700000000000552e-005	-5.720087e-001
6.800000000000552e-005	-5.724609e-001
6.900000000000551e-005	-5.729079e-001
7.000000000000551e-005	-5.733496e-001
7.100000000000551e-005	-5.737863e-001
7.200000000000550e-005	-5.742180e-001
7.300000000000550e-005	-5.746450e-001
7.400000000000550e-005	-5.750673e-001
7.500000000000550e-005	-5.754850e-001
7.600000000000549e-005	-5.758983e-001
7.700000000000549e-005	-5.763072e-001
7.800000000000549e-005	-5.767120e-001
7.900000000000549e-005	-5.771125e-001
8.000000000000548e-005	-5.775090e-001
8.100000000000548e-005	-5.779015e-001
8.200000000000548e-005	-5.782902e-001
8.300000000000547e-005	-5.786752e-001
8.400000000000547e-005	-5.790563e-001
8.500000000000547e-005	-5.794339e-001
8.600000000000547e-005	-5.798079e-001
8.700000000000546e-005	-5.801784e-001
8.800000000000546e-005	-5.805456e-001
8.900000000000546e-005	-5.809094e-001
9.000000000000545e-005	-5.812699e-001
9.100000000000545e-005	-5.816272e-001
9.200000000000545e-005	-5.819814e-001
9.300000000000545e-005	-5.823326e-001
9.400000000000544e-005	-5.826806e-001
9.500000000000544e-005	-5.830258e-001
9.600000000000544e-005	-5.833680e-001
9.700000000000543e-005	-5.837073e-001
9.800000000000543e-005	-5.840439e-001
9.900000000000543e-005	-5.843777e-001
1.000000000000054e-004	-5.847089e-001
1.010000000000054e-004	-5.850373e-001
1.020000000000054e-004	-5.853631e-001
1.030000000000054e-004	-5.856864e-001
1.040000000000054e-004	-5.860072e-001
1.050000000000054e-004	-5.863255e-001
1.060000000000054e-004	-5.866414e-001
1.070000000000054e-004	-5.869548e-001
1.080000000000054e-004	-5.872659e-001
1.090000000000054e-004	-5.875747e-001
1.100000000000054e-004	-5.878812e-001
1.110000000000054e-004	-5.881855e-001
1.120000000000054e-004	-5.884876e-001
1.130000000000054e-004	-5.887874e-001
1.140000000000054e-004	-5.890852e-001
1.150000000000054e-004	-5.893809e-001
1.160000000000054e-004	-5.896744e-001
1.170000000000054e-004	-5.899660e-001
1.180000000000054e-004	-5.902555e-001
1.190000000000054e-004	-5.905430e-001
1.200000000000054e-004	-5.908287e-001
1.210000000000054e-004	-5.911123e-001
1.220000000000054e-004	-5.913941e-001
1.230000000000054e-004	-5.916740e-001
1.240000000000054e-004	-5.919521e-001
1.250000000000054e-004	-5.922284e-001
1.260000000000054e-004	-5.925028e-001
1.270000000000054e-004	-5.927755e-001
1.280000000000054e-004	-5.930465e-001
1.290000000000054e-004	-5.933157e-001
1.300000000000054e-004	-5.935833e-001
1.310000000000054e-004	-5.938492e-001
1.320000000000054e-004	-5.941134e-001
1.330000000000054e-004	-5.943760e-001
1.340000000000053e-004	-5.946370e-001
1.350000000000053e-004	-5.948964e-001
1.360000000000053e-004	-5.951543e-001
1.370000000000053e-004	-5.954106e-001
1.380000000000053e-004	-5.956655e-001
1.390000000000053e-004	-5.959188e-001
1.400000000000053e-004	-5.961705e-001
1.410000000000053e-004	-5.964209e-001
1.420000000000053e-004	-5.966699e-001
1.430000000000053e-004	-5.969173e-001
1.440000000000053e-004	-5.971634e-001
1.450000000000053e-004	-5.974081e-001
1.460000000000053e-004	-5.976513e-001
1.470000000000053e-004	-5.978932e-001
1.480000000000053e-004	-5.981339e-001
1.490000000000053e-004	-5.983731e-001
1.500000000000053e-004	-5.986111e-001
