i1	V(vo)
5.500000000000555e-005	-1.231727e+000
5.600000000000554e-005	-1.240020e+000
5.700000000000554e-005	-1.248282e+000
5.800000000000554e-005	-1.256512e+000
5.900000000000553e-005	-1.264714e+000
6.000000000000553e-005	-1.272886e+000
6.100000000000553e-005	-1.281031e+000
6.200000000000553e-005	-1.289149e+000
6.300000000000553e-005	-1.297242e+000
6.400000000000553e-005	-1.305310e+000
6.500000000000552e-005	-1.313354e+000
6.600000000000552e-005	-1.321374e+000
6.700000000000552e-005	-1.329373e+000
6.800000000000552e-005	-1.337349e+000
6.900000000000551e-005	-1.345304e+000
7.000000000000551e-005	-1.353238e+000
7.100000000000551e-005	-1.361153e+000
7.200000000000550e-005	-1.369048e+000
7.300000000000550e-005	-1.376925e+000
7.400000000000550e-005	-1.384783e+000
7.500000000000550e-005	-1.392623e+000
7.600000000000549e-005	-1.400447e+000
7.700000000000549e-005	-1.408253e+000
7.800000000000549e-005	-1.416043e+000
7.900000000000549e-005	-1.423818e+000
8.000000000000548e-005	-1.431576e+000
8.100000000000548e-005	-1.439320e+000
8.200000000000548e-005	-1.447049e+000
8.300000000000547e-005	-1.454764e+000
8.400000000000547e-005	-1.462465e+000
8.500000000000547e-005	-1.470152e+000
8.600000000000547e-005	-1.477826e+000
8.700000000000546e-005	-1.485487e+000
8.800000000000546e-005	-1.493135e+000
8.900000000000546e-005	-1.500771e+000
9.000000000000545e-005	-1.508395e+000
9.100000000000545e-005	-1.516007e+000
9.200000000000545e-005	-1.523608e+000
9.300000000000545e-005	-1.531197e+000
9.400000000000544e-005	-1.538775e+000
9.500000000000544e-005	-1.546342e+000
9.600000000000544e-005	-1.553899e+000
9.700000000000543e-005	-1.561446e+000
9.800000000000543e-005	-1.568983e+000
9.900000000000543e-005	-1.576509e+000
1.000000000000054e-004	-1.584026e+000
1.010000000000054e-004	-1.591534e+000
1.020000000000054e-004	-1.599032e+000
1.030000000000054e-004	-1.606521e+000
1.040000000000054e-004	-1.614001e+000
1.050000000000054e-004	-1.621472e+000
1.060000000000054e-004	-1.628935e+000
1.070000000000054e-004	-1.636389e+000
1.080000000000054e-004	-1.643836e+000
1.090000000000054e-004	-1.651274e+000
1.100000000000054e-004	-1.658704e+000
1.110000000000054e-004	-1.666126e+000
1.120000000000054e-004	-1.673541e+000
1.130000000000054e-004	-1.680948e+000
1.140000000000054e-004	-1.688348e+000
1.150000000000054e-004	-1.695741e+000
1.160000000000054e-004	-1.703126e+000
1.170000000000054e-004	-1.710505e+000
1.180000000000054e-004	-1.717876e+000
1.190000000000054e-004	-1.725241e+000
1.200000000000054e-004	-1.732599e+000
1.210000000000054e-004	-1.739951e+000
1.220000000000054e-004	-1.747297e+000
1.230000000000054e-004	-1.754636e+000
1.240000000000054e-004	-1.761969e+000
1.250000000000054e-004	-1.769295e+000
1.260000000000054e-004	-1.776616e+000
1.270000000000054e-004	-1.783931e+000
1.280000000000054e-004	-1.791240e+000
1.290000000000054e-004	-1.798544e+000
1.300000000000054e-004	-1.805842e+000
1.310000000000054e-004	-1.813134e+000
1.320000000000054e-004	-1.820421e+000
1.330000000000054e-004	-1.827702e+000
1.340000000000053e-004	-1.834979e+000
1.350000000000053e-004	-1.842250e+000
1.360000000000053e-004	-1.849516e+000
1.370000000000053e-004	-1.856777e+000
1.380000000000053e-004	-1.864033e+000
1.390000000000053e-004	-1.871284e+000
1.400000000000053e-004	-1.878530e+000
1.410000000000053e-004	-1.885771e+000
1.420000000000053e-004	-1.893008e+000
1.430000000000053e-004	-1.900240e+000
1.440000000000053e-004	-1.907468e+000
1.450000000000053e-004	-1.914691e+000
1.460000000000053e-004	-1.921910e+000
1.470000000000053e-004	-1.929125e+000
1.480000000000053e-004	-1.936335e+000
1.490000000000053e-004	-1.943541e+000
1.500000000000053e-004	-1.950742e+000
1.510000000000053e-004	-1.957940e+000
1.520000000000053e-004	-1.965134e+000
1.530000000000053e-004	-1.972323e+000
1.540000000000053e-004	-1.979509e+000
1.550000000000053e-004	-1.986691e+000
1.560000000000053e-004	-1.993868e+000
1.570000000000053e-004	-2.001043e+000
1.580000000000053e-004	-2.008213e+000
1.590000000000053e-004	-2.015379e+000
1.600000000000053e-004	-2.022542e+000
1.610000000000053e-004	-2.029702e+000
1.620000000000053e-004	-2.036858e+000
1.630000000000053e-004	-2.044010e+000
1.640000000000053e-004	-2.051159e+000
1.650000000000053e-004	-2.058304e+000
1.660000000000053e-004	-2.065446e+000
1.670000000000053e-004	-2.072585e+000
1.680000000000053e-004	-2.079720e+000
1.690000000000053e-004	-2.086852e+000
1.700000000000052e-004	-2.093981e+000
1.710000000000052e-004	-2.101106e+000
1.720000000000052e-004	-2.108229e+000
1.730000000000052e-004	-2.115348e+000
1.740000000000052e-004	-2.122465e+000
1.750000000000052e-004	-2.129578e+000
1.760000000000052e-004	-2.136688e+000
1.770000000000052e-004	-2.143795e+000
1.780000000000052e-004	-2.150900e+000
1.790000000000052e-004	-2.158001e+000
1.800000000000052e-004	-2.165100e+000
1.810000000000052e-004	-2.172195e+000
1.820000000000052e-004	-2.179288e+000
1.830000000000052e-004	-2.186378e+000
1.840000000000052e-004	-2.193466e+000
1.850000000000052e-004	-2.200551e+000
1.860000000000052e-004	-2.207633e+000
1.870000000000052e-004	-2.214712e+000
